0 info it worked if it ends with ok
29 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\call-bind\package.json
30 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\callsites\package.json
31 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\camelcase-css\package.json
32 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\caniuse-lite\package.json
33 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\client-only\package.json
34 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\commander\package.json
35 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\cross-spawn\package.json
36 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\cssesc\package.json
37 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\damerau-levenshtein\package.json
38 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\data-view-buffer\package.json
39 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\data-view-byte-length\package.json
40 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\data-view-byte-offset\package.json
41 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\debug\package.json
42 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\deep-is\package.json
43 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\define-data-property\package.json
44 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\define-properties\package.json
45 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\didyoumean\package.json
46 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\dir-glob\package.json
47 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\dlv\package.json
48 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\doctrine\package.json
49 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eastasianwidth\package.json
50 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\electron-to-chromium\package.json
51 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\emoji-regex\package.json
52 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\es-abstract\package.json
53 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\es-iterator-helpers\package.json
54 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\es-set-tostringtag\package.json
55 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\es-shim-unscopables\package.json
56 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\es-to-primitive\package.json
57 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\escape-string-regexp\package.json
58 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint\package.json
59 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-config-next\package.json
60 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-import-resolver-node\package.json
61 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-import-resolver-typescript\package.json
62 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-module-utils\package.json
63 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-plugin-import\package.json
64 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-plugin-jsx-a11y\package.json
65 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-plugin-react\package.json
66 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-plugin-react-hooks\package.json
67 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-scope\package.json
68 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\eslint-visitor-keys\package.json
69 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\espree\package.json
70 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\esquery\package.json
71 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\esrecurse\package.json
72 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\estraverse\package.json
73 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\esutils\package.json
74 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\fast-deep-equal\package.json
75 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\fast-glob\package.json
76 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\fast-json-stable-stringify\package.json
77 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\fast-levenshtein\package.json
78 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\fastq\package.json
79 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\file-entry-cache\package.json
80 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\find-up\package.json
81 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\flat-cache\package.json
82 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\flatted\package.json
83 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\for-each\package.json
84 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\foreground-child\package.json
85 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\fraction.js\package.json
86 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\fs.realpath\package.json
87 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\function.prototype.name\package.json
88 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\functions-have-names\package.json
89 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\get-symbol-description\package.json
90 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\get-tsconfig\package.json
91 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\glob\package.json
92 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\glob-parent\package.json
93 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\globals\package.json
94 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\globalthis\package.json
95 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\globby\package.json
96 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\graceful-fs\package.json
97 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\graphemer\package.json
98 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\has-bigints\package.json
99 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\has-property-descriptors\package.json
100 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\has-proto\package.json
101 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\has-tostringtag\package.json
102 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\ignore\package.json
103 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\import-fresh\package.json
104 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\imurmurhash\package.json
105 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\inflight\package.json
106 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\internal-slot\package.json
107 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-array-buffer\package.json
108 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-async-function\package.json
109 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-bigint\package.json
110 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-boolean-object\package.json
111 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-bun-module\package.json
112 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-callable\package.json
113 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-core-module\package.json
114 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-data-view\package.json
115 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-date-object\package.json
116 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-finalizationregistry\package.json
117 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-generator-function\package.json
118 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-map\package.json
119 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-negative-zero\package.json
120 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-number-object\package.json
121 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-path-inside\package.json
122 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-regex\package.json
123 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-set\package.json
124 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-shared-array-buffer\package.json
125 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-string\package.json
126 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-symbol\package.json
127 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-typed-array\package.json
128 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-weakmap\package.json
129 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-weakref\package.json
130 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\is-weakset\package.json
131 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\isarray\package.json
132 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\isexe\package.json
133 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\iterator.prototype\package.json
134 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\jackspeak\package.json
135 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\jiti\package.json
136 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\js-tokens\package.json
137 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\js-yaml\package.json
138 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\json-buffer\package.json
139 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\json-schema-traverse\package.json
140 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\json-stable-stringify-without-jsonify\package.json
141 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\json5\package.json
142 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\jsx-ast-utils\package.json
143 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\keyv\package.json
144 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\language-subtag-registry\package.json
145 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\language-tags\package.json
146 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\levn\package.json
147 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\lilconfig\package.json
148 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\lines-and-columns\package.json
149 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\locate-path\package.json
150 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\lodash.merge\package.json
151 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\loose-envify\package.json
152 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\lru-cache\package.json
153 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\merge2\package.json
154 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\micromatch\package.json
155 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\minimist\package.json
156 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\minipass\package.json
157 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\ms\package.json
158 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\mz\package.json
159 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\nanoid\package.json
160 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\napi-postinstall\package.json
161 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\natural-compare\package.json
162 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\next\package.json
163 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\next-themes\package.json
164 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\node-releases\package.json
165 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\normalize-range\package.json
166 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\object-hash\package.json
167 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\object-keys\package.json
168 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\object.assign\package.json
169 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\object.entries\package.json
170 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\object.fromentries\package.json
171 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\object.groupby\package.json
172 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\object.values\package.json
173 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\once\package.json
174 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\optionator\package.json
175 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\own-keys\package.json
176 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\p-limit\package.json
177 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\p-locate\package.json
178 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\parent-module\package.json
179 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\path-exists\package.json
180 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\path-is-absolute\package.json
181 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\path-key\package.json
182 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\path-parse\package.json
183 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\path-scurry\package.json
184 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\path-type\package.json
185 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\picocolors\package.json
186 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\pify\package.json
187 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\pirates\package.json
188 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\possible-typed-array-names\package.json
189 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\postcss\package.json
190 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\postcss-import\package.json
191 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\postcss-js\package.json
192 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\postcss-nested\package.json
193 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\postcss-selector-parser\package.json
194 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\postcss-value-parser\package.json
195 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\prelude-ls\package.json
196 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\prop-types\package.json
197 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\queue-microtask\package.json
198 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\react\package.json
199 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\react-dom\package.json
200 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\react-is\package.json
201 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\read-cache\package.json
202 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\reflect.getprototypeof\package.json
203 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\regexp.prototype.flags\package.json
204 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\resolve\package.json
205 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\resolve-from\package.json
206 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\resolve-pkg-maps\package.json
207 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\reusify\package.json
208 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\rimraf\package.json
209 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\run-parallel\package.json
210 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\safe-array-concat\package.json
211 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\safe-push-apply\package.json
212 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\safe-regex-test\package.json
213 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\scheduler\package.json
214 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\set-function-length\package.json
215 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\set-function-name\package.json
216 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\set-proto\package.json
217 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\shebang-command\package.json
218 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\shebang-regex\package.json
219 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\signal-exit\package.json
220 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\slash\package.json
221 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\source-map-js\package.json
222 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\stable-hash\package.json
223 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\stop-iteration-iterator\package.json
224 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\streamsearch\package.json
225 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string-width\package.json
226 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string-width-cjs\package.json
227 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string.prototype.includes\package.json
228 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string.prototype.matchall\package.json
229 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string.prototype.repeat\package.json
230 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string.prototype.trim\package.json
231 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string.prototype.trimend\package.json
232 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\string.prototype.trimstart\package.json
233 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\strip-ansi-cjs\package.json
234 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\strip-bom\package.json
235 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\strip-json-comments\package.json
236 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\styled-jsx\package.json
237 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\sucrase\package.json
238 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\supports-preserve-symlinks-flag\package.json
239 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\tailwindcss\package.json
240 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\text-table\package.json
241 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\thenify\package.json
242 verbose installManyTop reading scoped package data from C:\Users\Ayishatu\BreakPoint\frontend\node_modules\thenify-all\package.json
